"id_chosenPair","id_subsetPair","smiles_molecule_a","smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","pchembl_distance","target_name","simil_2D","simil_3D","dissimil_2D","dissimil_3D","id_molecule_a","id_molecule_b","id_randPair","pair_type"
1,1,"Cc1cscc1-c1cccnc1","Cc1ccsc1-c1cccnc1",0.5670103092783505,1.989,0.3100000000000005,"CYP2D6",0,1,1,0,84,127,1493,"dis2D,sim3D"
2,8,"O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)cc1","O=S(=O)(c1ccc(F)cc1)c1ccc(/C=C/c2ccc(F)cc2)nc1",0.532051282051282,1.7819999999999998,0.3400000000000007,"HERG",0,1,1,0,491,903,1902,"dis2D,sim3D"
3,10,"NCc1ccc(-c2ccccc2)o1","CNCc1ccc(-c2cccnc2)o1",0.5492063492063493,1.778,0.4900000000000002,"CYP2D6",0,1,1,0,22,23,3000,"dis2D,sim3D"
4,11,"CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1","CCCCCCCN(CC)CC#Cc1ccc(C)cc1",0.5589519650655022,1.764,1.2999999999999998,"HERG",0,1,1,0,479,1233,136,"dis2D,sim3D"
5,13,"CN(C)Cc1ccc(-c2cccnc2)s1","CNCc1ccc(-c2cccnc2)o1",0.4526854219948849,1.757,0.5,"CYP2D6",0,1,1,0,15,23,945,"dis2D,sim3D"
6,14,"C[C@@H]1CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1","COc1c(Cl)ccc2c1C(=O)N1CCNC[C@@H]21",0.6261904761904762,1.757,1.4400000000000004,"5HT2B",0,1,1,0,36,196,1349,"dis2D,sim3D"
7,18,"CNCc1ccc(-c2cccnc2)o1","CNCc1ccc(-c2cccnc2)s1",0.4673366834170854,1.7519999999999998,0.0899999999999998,"CYP2D6",0,1,1,0,23,125,1116,"dis2D,sim3D"
8,19,"COc1ccc(N2Cc3c(c4cc(Cl)c(Cl)cc4n3C)C2=O)cc1OCCN1CCCCC1","COc1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1",0.5218150087260035,1.704,0.2000000000000001,"5HT2B",0,1,1,0,56,748,2862,"dis2D,sim3D"
9,23,"Cc1ccc(Oc2ccc(Nc3cncc(N)n3)cc2)cc1","CN(c1ccc(Cl)cc1)c1ccc(Nc2nccc(N)n2)cc1",0.3878787878787879,1.6740000000000002,0.3999999999999994,"HERG",0,1,1,0,973,1031,581,"dis2D,sim3D"
10,25,"Cc1nc2ncccc2cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1","Cc1nn(C)cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1",0.620253164556962,1.66,0.2099999999999999,"HERG",0,1,1,0,477,1150,1240,"dis2D,sim3D"
11,29,"C[C@H](N)CN1CCc2ccc(Cl)cc21","CN(C)CCc1c[nH]c2sccc12",0.2748815165876777,1.629,0.9499999999999992,"5HT2B",0,1,1,0,119,544,2952,"dis2D,sim3D"
12,30,"CCc1cc2c(ccc3cnn(C[C@H](C)N)c32)o1","C[C@H](N)Cn1ccc2cc(Cl)c3ncccc3c21",0.3282275711159737,1.6269999999999998,0.8499999999999996,"5HT2B",0,1,1,0,718,746,1377,"dis2D,sim3D"
13,34,"O=C1c2c(ccc(Cl)c2Cl)[C@@H]2CNCCN12","c1cc2c3c(c1)[C@@H]1CNCC[C@@H]1N3CCCS2",0.3232142857142857,1.582,0.6600000000000001,"5HT2B",0,1,1,0,31,1270,1598,"dis2D,sim3D"
